2026-05-05 07:35:56 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | //wb/
2026-05-05 07:35:59 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | //wb/
2026-05-05 07:36:02 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | //wb/
2026-05-05 07:36:04 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | //wb/
2026-05-05 07:36:08 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | //wb/
2026-05-05 07:36:11 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | //wb/
2026-05-05 07:36:13 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | //wb/
2026-05-05 07:36:15 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | //wb/
2026-05-05 07:36:18 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | ⛔ RATE_LIMIT: 9 reqs (no token) | //wb/
2026-05-05 07:36:21 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | ⛔ RATE_LIMIT: 10 reqs (no token) | //wb/
2026-05-05 07:37:00 | 2c0f:4c40:1806:5ef:9c41:638:d715:bdda | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 2c0f:4c40:1806:5ef:9c41:638:d715:bdda | /wb/
2026-05-05 07:37:02 | 2c0f:4c40:1806:5ef:9c41:638:d715:bdda | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | ✅ PASSED (token OK) | /wb/
2026-05-05 07:37:23 | 2c0f:4c40:1806:5ef:9c41:638:d715:bdda | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | ✅ PASSED (token OK) | /wb/carte.php
2026-05-05 07:38:13 | 2c0f:4c40:1806:5ef:9c41:638:d715:bdda | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | ✅ PASSED (token OK) | /wb/car.php
2026-05-05 07:39:21 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | ✅ PASSED (token OK) | /wb/
2026-05-05 07:41:18 | 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:150.0) Gecko/20100101 Firefox/150.0 | CHALLENGE -> 2001:861:3f81:1e70:40f0:e26c:9783:fc5e | /wb/
2026-05-05 07:41:44 | 2c0f:4c40:1806:5ef:b4fe:95bb:2aad:5e08 | WhatsApp/2.2615.101 W | ⛔ BLOCKED: UA_BOT: whatsapp | /wb/
2026-05-05 07:42:55 | 2a06:3040:4:610::e12c | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 2a06:3040:4:610::e12c | /wb/
2026-05-05 07:42:56 | 2a06:3040:4:610::e12c | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | ✅ PASSED (token OK) | /wb/
2026-05-05 07:44:12 | 2c0f:4c40:1806:5ef:749a:2a4:ca3b:bed1 | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36 | CHALLENGE -> 2c0f:4c40:1806:5ef:749a:2a4:ca3b:bed1 | /wb/
2026-05-05 07:44:13 | 2c0f:4c40:1806:5ef:749a:2a4:ca3b:bed1 | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36 | ✅ PASSED (token OK) | /wb/
2026-05-05 07:44:14 | 66.249.93.76 | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943) | ⛔ BLOCKED: CLOUD_IP: 66.* | /wb/
2026-05-05 07:44:14 | 66.249.93.74 | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943) | ⛔ BLOCKED: CLOUD_IP: 66.* | /wb/
2026-05-05 07:44:14 | 66.249.93.74 | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943) | ⛔ BLOCKED: CLOUD_IP: 66.* | /wb/
2026-05-05 07:44:20 | 83.229.92.210 | Mozilla/5.0 (iPhone; CPU iPhone OS 26_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/144.0.7559.95 Mobile/15E148 Safari/604.1 | ⛔ BLOCKED: CLOUD_IP: 83.* | /wb/
2026-05-05 07:45:04 | 2c0f:4c40:1806:5ef:749a:2a4:ca3b:bed1 | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36 | ✅ PASSED (token OK) | /wb/
2026-05-05 07:45:10 | 143.244.54.28 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36 | ⛔ BLOCKED: CLOUD_IP: 143.* | /wb/
2026-05-05 07:46:10 | 2600:1900:0:2102::501 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 2600:1900:0:2102::501 | /wb/
2026-05-05 07:46:11 | 2a01:e0a:fdc:91a0:755e:8bff:fcc0:b221 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 2a01:e0a:fdc:91a0:755e:8bff:fcc0:b221 | /wb/
2026-05-05 07:46:13 | 2600:1900:0:2102::501 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 2600:1900:0:2102::501 | /wb/
2026-05-05 07:46:15 | 2600:1900:0:2102::501 | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | ✅ PASSED (token OK) | /wb/
2026-05-05 07:49:24 | 159.26.105.169 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 159.26.105.169 | /wb/
2026-05-05 07:49:24 | 159.26.105.169 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 159.26.105.169 | /wb/
2026-05-05 07:49:25 | 159.26.105.169 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 159.26.105.169 | /wb/
2026-05-05 07:49:25 | 159.26.105.169 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 159.26.105.169 | /wb/
2026-05-05 07:49:25 | 159.26.105.169 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 159.26.105.169 | /wb/
2026-05-05 07:49:26 | 159.26.105.169 | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 | CHALLENGE -> 159.26.105.169 | /wb/
